pid,Price,tid,Sale_Year,Home_Size,Parcel_Size,Beds,Age,Pool_Val,CBD_DIST,X_Coordinate,Y_Coordinate
123,142.087,3363,2002,1760,3802,3,0,0,16325.33,505256.4,1575770.0
124,114.108,6916,2003,1330,10019,3,44,0,6959.85,557495.1,1528210.0
125,159.457,5616,2002,2127,4611,3,0,1,23435.08,458841.6,1519230.0
126,96.384,9126,2000,864,7011,2,4,0,3098.29,545003.8,1530948.0
127,146.24,9606,2001,1815,9910,3,11,0,2102.7,539991.3,1526510.0
129,203.403,8559,2004,1618,8452,4,19,0,8241.34,554709.3,1549446.0
130,148.541,7051,2004,1732,8046,4,0,0,12752.72,498884.0,1552529.0
131,89.282,5040,2003,1066,7383,3,21,0,15276.96,487663.8,1548086.0
132,166.824,6253,2003,1662,13978,3,9,0,18805.54,596520.9,1529036.0
133,99.625,4592,2003,966,3948,2,11,0,11683.21,572522.4,1538169.0
134,77.608,1222,2001,1036,2896,2,10,0,18825.97,539281.4,1469472.0
135,132.49,7635,2002,1555,11700,3,15,0,8106.67,553806.6,1512443.0
137,115.638,8673,2003,1279,8899,3,3,0,10986.82,500453.3,1541960.0
138,183.297,4899,2001,2206,8629,4,0,0,14357.54,492698.5,1552187.0
139,128.461,1042,2002,1443,5539,3,12,0,14823.12,582721.9,1522514.0
140,133.741,3318,2002,1358,6199,3,2,0,18284.07,593861.8,1520285.0
141,116.809,4732,2002,1209,8864,3,11,0,17124.29,528415.5,1475270.0
144,121.059,8076,2000,1782,6050,3,2,0,11119.22,499057.9,1538282.0
145,171.487,9746,2004,1941,6163,3,0,0,21350.38,543299.7,1461540.0
146,781.839,4035,2003,4767,16834,3,0,1,18639.26,482004.8,1500260.0
149,110.588,8450,2000,1727,6687,4,12,0,10685.31,499926.5,1527764.0
151,142.399,2905,2003,1619,5000,3,15,0,21398.93,522337.8,1461988.0
152,108.263,9046,2001,1448,9650,3,11,0,11444.1,507615.5,1556976.0
153,200.641,8619,2003,2033,15303,3,20,1,15624.92,484111.7,1538625.0
154,281.201,3536,2004,3162,6168,4,0,1,22862.04,460207.4,1523328.0
155,102.908,5146,2002,1056,9077,2,42,0,5141.07,544689.8,1517401.0
156,139.093,8903,2002,1732,10126,3,12,0,14222.67,493675.1,1553111.0
158,106.985,9562,2001,1498,7401,4,0,0,6744.49,513198.2,1526434.0
160,248.022,9464,2003,3183,10625,5,0,0,21435.4,465921.7,1516959.0
161,171.182,1687,2000,2157,8983,3,28,0,6741.35,551148.9,1546040.0
165,125.941,5637,2003,754,6363,2,18,0,6777.51,541205.9,1552410.0
166,107.139,6683,2000,1312,5491,3,0,0,18276.85,594033.2,1521413.0
167,420.291,6245,2004,3410,10625,4,0,1,29539.54,630986.0,1518686.0
168,103.019,4890,2002,1452,10070,3,37,0,9258.93,531880.3,1500854.0
169,31.093,2700,2000,1038,4904,3,25,0,1449.71,530211.4,1532214.0
171,199.921,7289,2004,2406,7826,4,0,0,13483.32,575111.9,1512765.0
172,177.633,9722,2003,2295,5485,4,0,0,21484.31,605106.9,1525284.0
175,147.294,5803,2005,1456,9101,3,19,0,13509.04,494405.4,1549292.0
176,93.694,6166,2005,1003,8892,3,30,0,6748.08,515255.5,1541436.0
177,153.925,9577,2002,1681,10201,3,23,0,14417.84,496647.2,1503158.0
178,170.037,5489,2001,2268,5568,4,3,1,13567.19,578001.6,1520170.0
179,438.96,7620,2003,3122,15934,4,7,1,10520.34,532519.9,1565549.0
185,136.051,7666,2004,1680,9183,3,31,0,8951.31,562901.0,1539783.0
186,169.856,6332,2004,1660,1883,3,0,0,22427.78,607378.4,1518622.0
190,110.614,6239,2004,1276,5505,3,3,0,9866.54,505515.2,1544839.0
191,220.867,7481,2003,2494,10775,4,10,1,19498.69,524563.6,1467934.0
192,108.548,8880,2004,975,8354,3,7,0,21398.33,491817.9,1586608.0
195,342.704,5620,2002,2555,13051,3,37,0,2463.62,536832.1,1523262.0
196,147.361,6133,2002,1727,5000,3,0,0,20066.61,600255.3,1538688.0
197,109.105,9008,2000,1661,9943,4,0,0,8905.07,512442.2,1549877.0
198,167.201,9279,2001,1877,11892,4,36,1,5632.39,543444.9,1514739.0
199,218.174,6694,2000,1979,9721,3,30,1,11033.68,547191.0,1565137.0
200,91.311,4176,2000,1237,10540,3,2,0,12766.26,576000.2,1538908.0
201,234.289,907,2004,1959,6597,3,1,0,9437.17,506934.3,1517655.0
202,773.386,6314,2002,4851,30716,4,0,1,14594.53,487694.3,1522619.0
203,259.336,9957,2003,2362,47071,4,14,1,25785.32,599158.8,1476105.0
204,135.529,5490,2002,1842,23009,3,11,0,10021.18,566333.6,1540564.0
207,91.847,945,2001,1452,6757,3,14,0,11752.38,572948.6,1537027.0
208,85.467,8625,2001,1382,11057,3,33,0,14553.54,581090.9,1543022.0
209,181.576,4367,2003,1633,6552,3,8,0,11594.54,499265.8,1517579.0
210,1883.188,3701,2004,4871,44481,5,4,1,19477.76,473195.0,1514164.0
211,164.571,8956,2001,2048,13000,4,15,1,12841.6,493018.5,1525853.0
212,223.719,304,2003,2227,12174,4,12,0,16208.64,481728.2,1528043.0
214,141.324,9496,2000,1708,5500,3,0,0,15741.35,520579.6,1481441.0
219,350.612,5932,2005,2896,47024,4,6,0,25368.27,615913.8,1550026.0
222,222.322,8145,2004,2047,8140,4,11,1,19537.11,521344.8,1468407.0
223,413.409,965,2004,3347,12376,4,14,1,3739.73,523645.1,1536137.0
225,108.325,1471,2000,1690,11250,3,8,0,30378.05,633914.7,1519987.0
226,163.19,3257,2000,2319,5400,4,0,0,14815.37,579437.1,1550463.0
227,138.348,9927,2004,1364,5308,3,6,0,12293.46,574621.6,1537805.0
228,127.089,9881,2000,1528,5000,4,1,0,17380.83,591553.3,1525006.0
229,141.928,1376,2004,1164,6216,3,2,0,14828.82,579600.4,1512000.0
230,132.881,2532,2002,1574,4403,4,0,0,19056.7,544130.1,1469249.0
231,84.195,937,2000,1139,8319,3,30,0,9558.2,508071.1,1547458.0
232,166.499,9382,2000,1559,5750,4,0,1,21030.59,603271.5,1522120.0
236,131.599,3922,2000,1621,10001,3,0,0,19732.15,499763.4,1585538.0
237,142.018,5878,2001,2156,5042,4,0,0,15770.29,584332.1,1515965.0
238,112.02,7243,2001,1311,8639,3,36,0,3733.29,537380.8,1519112.0
241,217.022,5152,2003,2486,13931,3,9,0,20416.85,597776.2,1554088.0
